method,property,alpha,latent_displacement,requested_candidates,valid_candidates,valid_fraction,distinct_canonical_structures,median_sa_score,median_delta_sa_vs_seed,median_np_likeness,median_delta_np_vs_seed,median_np_fragment_confidence,sa_nonworsening_fraction_valid_changed,np_nondecreasing_fraction_valid_changed
MolecuLA raw OLS (seed-excluded),FractionCSP3,131.8181818181818,131.8181818181818,50,50,1.0,50,4.764966586363682,2.3782351885806308,0.6317693948627983,1.4489449278207926,0.9130434782608695,0.02,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,134.84848484848487,134.84848484848487,50,50,1.0,49,5.090821771649894,2.6156608016504848,0.42568500414509286,1.4347846483086604,0.9263015551048005,0.02,0.94
MolecuLA raw OLS (seed-excluded),FractionCSP3,137.87878787878788,137.87878787878788,50,50,1.0,47,5.120316348630082,2.5279047009593953,0.35816296896417477,1.394701723353765,0.9496969696969697,0.0,0.94
MolecuLA raw OLS (seed-excluded),FractionCSP3,140.90909090909088,140.90909090909088,50,50,1.0,46,5.272848182530659,2.547349745391725,0.2565276625291251,1.3149089272906127,0.9454941860465116,0.0,0.9
MolecuLA raw OLS (seed-excluded),FractionCSP3,143.93939393939394,143.93939393939394,50,50,1.0,44,5.548467138267421,2.832929805960352,0.21470400509918103,1.2523923434294635,0.9629502572898799,0.0,0.9
MolecuLA raw OLS (seed-excluded),FractionCSP3,146.96969696969694,146.96969696969694,50,50,1.0,41,5.548467138267421,2.9087221078474337,0.19374867791451952,1.2540560444417426,0.9795918367346939,0.0,0.86
MolecuLA raw OLS (seed-excluded),FractionCSP3,150.0,150.0,50,50,1.0,41,5.548467138267421,2.946550727073469,0.1444617369057933,1.2296145310696132,0.9803921568627452,0.0,0.88
MolecuLA raw OLS (seed-excluded),HBA,-150.0,150.0,50,50,1.0,16,3.6582262694042136,1.4319282283149697,0.2702114798440666,1.2557568367914858,0.8,0.14,0.82
MolecuLA raw OLS (seed-excluded),HBA,-146.96969696969697,146.96969696969697,50,50,1.0,18,3.6582262694042136,1.3772973712793766,0.2702114798440666,1.3170414300516828,0.8,0.14,0.82
MolecuLA raw OLS (seed-excluded),HBA,-143.93939393939394,143.93939393939394,50,50,1.0,21,3.6582262694042136,1.2741632794203408,0.2702114798440666,1.3937056065484787,0.8,0.14,0.84
MolecuLA raw OLS (seed-excluded),HBA,-140.9090909090909,140.9090909090909,50,49,0.98,25,3.6582262694042136,1.1980462621786572,0.2702114798440666,1.6556351332666424,0.8333333333333334,0.14285714285714285,0.8571428571428571
MolecuLA raw OLS (seed-excluded),HBA,-137.87878787878788,137.87878787878788,50,49,0.98,28,3.6957977486383786,1.264474004569113,0.2702114798440666,1.4781201840468552,0.8333333333333334,0.14285714285714285,0.8979591836734694
MolecuLA raw OLS (seed-excluded),HBA,-134.84848484848484,134.84848484848484,50,50,1.0,30,3.7197266484622697,1.2288683896543668,0.44637619139585,1.4558940237552953,0.8333333333333334,0.14,0.9
MolecuLA raw OLS (seed-excluded),HBA,-131.8181818181818,131.8181818181818,50,50,1.0,31,3.7962483110104213,1.3243165367527343,0.671556046044525,1.5866630276082123,0.8,0.1,0.9
MolecuLA raw OLS (seed-excluded),HBA,-128.78787878787878,128.78787878787878,50,50,1.0,31,3.921833379946076,1.4993007901831152,0.7231334597103001,1.7135138188781385,0.8,0.12,0.9
MolecuLA raw OLS (seed-excluded),HBA,-125.75757575757576,125.75757575757576,50,50,1.0,32,4.007471920620576,1.5338024324982409,0.8064941990298999,1.8270190522636103,0.8,0.14,0.9
MolecuLA raw OLS (seed-excluded),HBA,-122.72727272727272,122.72727272727272,50,50,1.0,36,3.6582262694042136,1.3150443203105047,0.9770620881211168,1.9269615169327938,0.8333333333333334,0.14,0.92
MolecuLA raw OLS (seed-excluded),HBA,-119.69696969696967,119.69696969696967,50,50,1.0,36,3.724064730942675,1.3772973712793766,0.9207276098330168,1.8130405037334811,0.8284313725490196,0.16,0.9
