property,alpha,latent_displacement,paired_seeds,raw_valid_fraction,chemspace_valid_fraction,raw_median_expected_improvement,chemspace_median_expected_improvement,median_improvement_difference_chemspace_minus_raw,raw_median_seed_similarity,chemspace_median_seed_similarity
BertzCT,-98.48484848484848,98.48484848484848,50,1.0,0.74,733.5321357194807,323.2246106143078,-33.30296890880649,0.038838612368024134,0.0363636363636363
BertzCT,-95.45454545454545,95.45454545454545,50,1.0,0.74,733.5321357194807,396.499379292522,-2.0,0.04044117647058823,0.037037037037037
BertzCT,-92.42424242424242,92.42424242424242,50,1.0,0.74,731.154691968399,396.499379292522,0.0,0.0392156862745098,0.037037037037037
BertzCT,-89.39393939393939,89.39393939393939,50,1.0,0.74,724.348847242185,397.81326077302657,0.0,0.043560606060606064,0.024390243902439
BertzCT,-86.36363636363637,86.36363636363637,50,1.0,0.74,723.1037347443485,465.6519131322054,0.0,0.05263157894736842,0.024390243902439
BertzCT,-83.33333333333333,83.33333333333333,50,1.0,0.74,722.3988356241724,542.9693340915088,0.0,0.05442428730099963,0.0232558139534883
BertzCT,-80.3030303030303,80.3030303030303,50,1.0,0.74,722.3988356241724,566.0010355519379,2.0,0.05771365149833518,0.0232558139534883
BertzCT,-77.27272727272728,77.27272727272728,50,1.0,0.74,724.5821241014681,639.458821325623,4.754887502163456,0.05941176470588235,0.0222222222222222
BertzCT,-74.24242424242425,74.24242424242425,50,1.0,0.74,720.9724836270314,640.4924236266434,7.50977500432694,0.06186224489795918,0.0
BertzCT,-71.21212121212122,71.21212121212122,50,1.0,0.74,713.2535605285822,640.4924236266434,14.0,0.06857366771159874,0.0
BertzCT,-68.18181818181819,68.18181818181819,50,1.0,0.74,709.2870232216442,640.4924236266434,15.509775004326912,0.06854460093896714,0.0
BertzCT,-65.15151515151516,65.15151515151516,50,1.0,0.74,703.1505977902827,640.4924236266434,21.21928094887363,0.07785336356764927,0.0
BertzCT,-62.121212121212125,62.121212121212125,50,1.0,0.74,667.3630942393881,640.4924236266434,29.793193904479494,0.08558275789914208,0.0
BertzCT,-59.09090909090909,59.09090909090909,50,1.0,0.76,659.3081203239196,663.8160033413495,33.54808140664301,0.08706952566601689,0.0
BertzCT,-56.06060606060606,56.06060606060606,50,1.0,0.76,600.6858360201005,663.8160033413495,53.74860596185445,0.0967741935483871,0.0
BertzCT,-53.03030303030303,53.03030303030303,50,1.0,0.76,613.5258011261005,663.8160033413495,69.07329781366417,0.10839160839160839,0.0
BertzCT,-50.0,50.0,50,1.0,0.78,560.2733998757815,640.4924236266434,103.6969428639286,0.11630434782608695,0.0
BertzCT,-46.96969696969697,46.96969696969697,50,1.0,0.78,535.2634684326149,640.4924236266434,109.20671786825551,0.126131221719457,0.0
BertzCT,-43.93939393939394,43.93939393939394,50,1.0,0.78,539.6841531994223,640.4924236266434,126.97373660251156,0.11566332218506131,0.0
BertzCT,-40.90909090909091,40.90909090909091,50,1.0,0.78,468.1437151762429,640.4924236266434,180.21499122004116,0.12004801920768307,0.0
BertzCT,-37.878787878787875,37.878787878787875,50,1.0,0.8,481.1159536031197,663.8160033413495,183.21499122004107,0.13636363636363635,0.0
BertzCT,-34.848484848484844,34.848484848484844,50,1.0,0.82,450.38383227982854,687.1395830560557,188.57407497429568,0.15620915032679739,0.0
BertzCT,-31.818181818181813,31.818181818181813,50,1.0,0.84,374.38095854941173,700.3441222322309,267.4423132419005,0.19174208144796379,0.0
BertzCT,-28.787878787878782,28.787878787878782,50,1.0,0.84,304.80503306954455,700.3441222322309,317.2259130250232,0.2142261159783062,0.0
BertzCT,-25.757575757575765,25.757575757575765,50,1.0,0.84,252.50776717574308,700.3441222322309,366.416132536964,0.26110154905335625,0.0
